OrderID,OrderDate,CustomerName,Region,ProductCategory,Revenue,Quantity,Status
ORD-01255,18-08-2024,Gaurav Mishra,South,Furniture,0,3,Returned
ORD-01314,23-10-2023,Aakash Bhat,South,Furniture,5911.62,6,Active
ORD-01042,29-08-2023,Rajesh Choudhury,South,Office Supplies,899.44,20,Active
ORD-01709,08-01-2023,Ajay Rastogi,North,Office Supplies,74.82,21,Active
ORD-01484,04-11-2024,Divya Kaur,North,Office Supplies,1110.91,7,Active
ORD-01443,10-04-2024,Geeta Pandey,West,Electronics,0,1,Cancelled
ORD-02004,22-08-2023,Sneha Gupta,East,Furniture,15696.99,7,Active
ORD-01927,19-12-2023,Arjun Reddy,South,Office Supplies,3453.15,13,Active
ORD-01948,25-04-2023,Tarun Mukerjee,East,Office Supplies,2599.44,22,Active
ORD-02297,11-12-2024,Kavya Nair,North,Electronics,41424.92,4,Active
ORD-01563,06-12-2024,Arjun Reddy,South,Furniture,1178.82,4,Active
ORD-01346,11-07-2024,Kiran Nambiar,West,Electronics,11740.03,3,Active
ORD-01543,07-08-2024,Asha Kulkarni,South,Office Supplies,3440.5,5,Active
ORD-01087,29-08-2024,Ajay Rastogi,North,Electronics,29209.53,2,Active
ORD-02232,08-03-2024,Varun Naik,North,Electronics,37997.99,3,Active
ORD-02275,26-11-2023,Gaurav Mishra,South,Office Supplies,0,30,Cancelled
ORD-01657,21-06-2023,Dev Mathur,East,Office Supplies,275.88,22,Active
ORD-02352,30-07-2023,Vivek Chopra,West,Office Supplies,2343.53,6,Active
ORD-02307,01-09-2023,Varun Naik,North,Office Supplies,3012.52,14,Active
ORD-02397,09-04-2024,Tara Saxena,East,Office Supplies,1708.91,11,Active
ORD-02504,15-03-2024,Nikhil Desai,North,Furniture,0,0,Active
ORD-01920,03-08-2024,Gaurav Mishra,South,Electronics,0,1,Cancelled
ORD-02326,21-05-2024,Manish Srivastava,East,Furniture,11594.47,1,Active
ORD-02049,08-02-2024,Neha Tiwari,North,Office Supplies,0,2,Cancelled
ORD-01946,01-10-2024,Rohan Mehta,South,Electronics,6405.5,1,Active
ORD-02339,19-07-2024,Bhavna Dubey,South,Furniture,6329.67,2,Active
ORD-01457,30-03-2023,Sneha Gupta,East,Electronics,26859.17,4,Active
ORD-02493,29-06-2023,Kavya Nair,North,Electronics,23504.85,1,Active
ORD-01752,02-04-2024,Arjun Reddy,South,Furniture,8508.41,3,Active
ORD-01916,17-10-2023,Smita Patil,East,Electronics,0,4,Cancelled
ORD-01354,29-06-2023,Kiran Nambiar,West,Electronics,43775.23,4,Active
ORD-01603,20-04-2024,Vikram Singh,West,Electronics,39437.01,3,Active
ORD-01945,15-08-2024,Deepa Pillai,East,Office Supplies,0,26,Cancelled
ORD-01258,14-11-2023,Varun Naik,North,Office Supplies,0,2,Returned
ORD-01142,17-10-2023,Vivek Chopra,West,Office Supplies,3496.21,16,Active
ORD-01695,07-09-2023,Priya Patel,East,Office Supplies,605.9,21,Active
ORD-01190,01-06-2024,Tarun Mukerjee,East,Office Supplies,444.73,21,Active
ORD-02449,15-07-2024,Rajesh Choudhury,South,Furniture,0,1,Cancelled
ORD-01930,20-12-2024,Nidhi Bhatt,South,Furniture,12898.39,7,Active
ORD-01644,10-10-2024,Harsh Shah,West,Office Supplies,0,7,Returned
ORD-01195,25-02-2024,Smita Patil,East,Furniture,15665.23,1,Active
ORD-02259,25-01-2023,Asha Kulkarni,South,Furniture,1911.14,2,Active
ORD-02310,02-08-2024,Gaurav Mishra,South,Furniture,6116.56,2,Active
ORD-02354,26-07-2023,Ananya Sharma,North,Furniture,1432.27,7,Active
ORD-02455,04-02-2023,Rahul Verma,West,Furniture,5657.61,3,Active
ORD-01060,25-01-2023,Neha Tiwari,North,Furniture,15599.05,5,Active
ORD-02344,24-01-2023,Ajay Rastogi,North,Electronics,7593.15,3,Active
ORD-01900,14-07-2023,Gaurav Mishra,South,Office Supplies,0,10,Returned
ORD-01940,14-10-2023,Bhavna Dubey,South,Office Supplies,3120.21,3,Active
ORD-02426,30-11-2023,Yash Agarwal,North,Furniture,7382.92,2,Active
ORD-01242,23-03-2024,Arjun Reddy,South,Electronics,36898.28,3,Active
ORD-02411,12-11-2023,Ananya Sharma,North,Furniture,0,2,Returned
ORD-01754,23-03-2023,Deepa Pillai,East,Furniture,0,5,Cancelled
ORD-01866,07-05-2023,Arjun Reddy,South,Furniture,11523.08,2,Active
ORD-01501,09-02-2024,Geeta Pandey,West,Electronics,16444.29,2,Active
ORD-02249,01-05-2024,Tarun Mukerjee,East,Electronics,0,4,Returned
ORD-01030,11-03-2023,Priya Patel,East,Electronics,0,3,Cancelled
ORD-01499,08-03-2023,Neha Tiwari,North,Furniture,14624.59,2,Active
ORD-02103,26-04-2024,Manish Srivastava,East,Electronics,23195.48,4,Active
ORD-01395,08-08-2024,Asha Kulkarni,South,Furniture,3300.18,5,Active
ORD-02208,20-11-2024,Harsh Shah,West,Electronics,0,3,Cancelled
ORD-02333,13-07-2024,Arjun Reddy,South,Electronics,5149.68,1,Active
ORD-02033,23-01-2023,Riya Malhotra,East,Office Supplies,2274.12,14,Active
ORD-01410,11-01-2023,Sneha Gupta,East,Office Supplies,2626.64,18,Active
ORD-01426,12-10-2024,Dev Mathur,East,Office Supplies,3260.9,6,Active
ORD-02068,27-12-2023,Amit Kumar,East,Furniture,14084.9,7,Active
ORD-01855,18-11-2024,Neha Tiwari,North,Electronics,8626.86,4,Active
ORD-02226,18-11-2023,Smita Patil,East,Office Supplies,0,5,Cancelled
ORD-01882,06-12-2024,Tarun Mukerjee,East,Office Supplies,1040.8,20,Active
ORD-01568,11-02-2024,Nidhi Bhatt,South,Office Supplies,3498.03,27,Active
ORD-01001,16-10-2024,Rahul Verma,East,Electronics,0,1,Cancelled
ORD-01992,17-01-2023,Geeta Pandey,West,Electronics,0,1,Cancelled
ORD-02459,07-04-2023,Nidhi Bhatt,South,Furniture,17999.19,7,Active
ORD-02349,30-07-2023,Riya Malhotra,East,Office Supplies,291.43,2,Active
ORD-01347,10-10-2023,Neha Tiwari,North,Office Supplies,2690.94,2,Active
ORD-01625,19-05-2024,Pooja Iyer,North,Office Supplies,2539.38,4,Active
ORD-01194,23-07-2024,Vikram Singh,West,Office Supplies,1987.81,22,Active
ORD-02010,18-09-2024,Deepa Pillai,East,Office Supplies,2999.76,3,Active
ORD-01473,20-06-2024,Kavya Nair,North,Office Supplies,2214.99,16,Active
ORD-02418,04-03-2023,Nikhil Desai,South,Electronics,30207.24,1,Active
ORD-01486,14-10-2023,Arjun Reddy,South,Office Supplies,1475.05,29,Active
ORD-01664,24-03-2024,Divya Kaur,North,Office Supplies,156.33,6,Active
ORD-01051,11-10-2024,Kiran Nambiar,West,Electronics,956.72,2,Active
ORD-02196,12-07-2023,Rohan Mehta,South,Office Supplies,550.78,8,Active
ORD-01844,06-06-2023,Kiran Nambiar,West,Office Supplies,1186.03,18,Active
ORD-01847,01-08-2024,Deepa Pillai,East,Office Supplies,1888.72,24,Active
ORD-01904,17-02-2023,Sneha Gupta,East,Office Supplies,2622.16,1,Active
ORD-01121,18-03-2023,Deepa Pillai,West,Office Supplies,2098.65,10,Active
ORD-01935,13-12-2024,Tarun Mukerjee,East,Office Supplies,670.3,17,Active
ORD-02003,05-03-2024,Neha Tiwari,North,Furniture,4372.12,2,Active
ORD-01405,20-11-2024,Geeta Pandey,West,Furniture,0,3,Cancelled
ORD-02317,26-09-2023,Sneha Gupta,South,Furniture,11891.18,2,Active
ORD-01074,14-12-2024,Divya Kaur,North,Electronics,0,1,Returned
ORD-02461,20-02-2024,Rohan Mehta,South,Office Supplies,2752.99,17,Active
ORD-01934,23-03-2024,Pooja Iyer,North,Office Supplies,2830.5,28,Active
ORD-01938,13-07-2024,Ajay Rastogi,North,Electronics,25912.21,3,Active
ORD-01833,15-11-2024,Rohan Mehta,South,Office Supplies,1867.46,9,Active
ORD-01979,09-10-2024,Yash Agarwal,North,Electronics,0,1,Cancelled
ORD-01586,24-07-2023,Harsh Shah,West,Furniture,13696.2,4,Active
ORD-01493,11-06-2023,Vivek Chopra,West,Office Supplies,2131.39,7,Active
ORD-01769,18-01-2024,Neha Tiwari,North,Office Supplies,1558.02,8,Active
ORD-01180,01-08-2024,Aakash Bhat,South,Office Supplies,795.03,28,Active
ORD-01014,19-11-2023,Aakash Bhat,South,Furniture,15958.89,8,Active
ORD-02054,01-05-2024,Asha Kulkarni,South,Electronics,0,5,Returned
ORD-02015,05-05-2024,Sneha Gupta,East,Electronics,0,1,Cancelled
ORD-01893,03-11-2023,Ajay Rastogi,North,Furniture,10126.64,1,Active
ORD-01249,06-03-2023,Rahul Verma,West,Furniture,10862.28,1,Active
ORD-01137,12-06-2023,Vivek Chopra,West,Office Supplies,1457.57,8,Active
ORD-01073,01-05-2024,Sarita Bansal,West,Electronics,20929.39,5,Active
ORD-02314,31-01-2023,Padma Subramaniam,West,Furniture,8095.22,6,Active
ORD-02315,31-01-2023,Neha Tiwari,North,Electronics,0,3,Cancelled
ORD-01721,23-06-2023,Priya Patel,East,Office Supplies,50.99,6,Active
ORD-01327,21-09-2023,Sanjay Joshi,East,Furniture,10349.73,4,Active
ORD-01985,19-12-2024,Pooja Iyer,North,Furniture,14827.08,2,Active
ORD-01269,20-03-2023,Ajay Rastogi,North,Furniture,7345.2,5,Active
ORD-02055,20-01-2024,Arjun Reddy,East,Furniture,0,8,Cancelled
ORD-01577,07-07-2023,Gaurav Mishra,South,Electronics,16503.53,3,Active
ORD-01285,12-02-2023,Rohan Mehta,South,Office Supplies,2710.03,9,Active
ORD-02433,21-09-2023,Manish Srivastava,East,Office Supplies,474.69,5,Active
ORD-02027,28-05-2024,Asha Kulkarni,South,Furniture,12863.91,5,Active
ORD-01917,20-04-2023,Lakshmi Venkat,North,Electronics,35825.45,5,Active
ORD-01784,10-02-2024,Suresh Rao,North,Office Supplies,0,16,Cancelled
ORD-01035,04-04-2024,Pooja Iyer,North,Furniture,8488.52,2,Active
ORD-01885,16-09-2024,Riya Malhotra,East,Electronics,869.88,1,Active
ORD-01007,15-04-2024,Dev Mathur,East,Furniture,1694.76,5,Active
ORD-01840,22-12-2023,Smita Patil,East,Furniture,4480.82,5,Active
ORD-02036,24-09-2023,Riya Malhotra,East,Furniture,13924.57,1,Active
ORD-02038,02-07-2024,Tara Saxena,East,Electronics,37898.46,2,Active
ORD-01479,17-08-2023,Asha Kulkarni,South,Furniture,1520,8,Active
ORD-02227,18-02-2024,Yash Agarwal,North,Office Supplies,2204.04,20,Active
ORD-01330,25-09-2023,Divya Kaur,North,Furniture,17186.42,5,Active
ORD-01652,28-10-2023,Aakash Bhat,South,Office Supplies,0,18,Returned
ORD-02373,09-04-2023,Deepa Pillai,East,Electronics,19173.06,1,Active
ORD-02074,12-05-2023,Amit Kumar,South,Furniture,2518.59,3,Active
ORD-01278,24-02-2024,Ajay Rastogi,East,Office Supplies,0,15,Cancelled
ORD-01954,04-02-2024,Manish Srivastava,East,Office Supplies,3052.46,1,Active
ORD-01047,10-07-2024,Vivek Chopra,West,Office Supplies,1874.85,22,Active
ORD-02378,30-12-2024,Dev Mathur,East,Office Supplies,641.53,4,Active
ORD-01264,07-12-2024,Yash Agarwal,North,Electronics,32925.2,3,Active
ORD-01976,26-02-2023,Arjun Reddy,South,Furniture,0,8,Returned
ORD-01737,11-08-2024,Nikhil Desai,South,Office Supplies,0,8,Returned
ORD-02040,08-07-2023,Aakash Bhat,South,Electronics,30217.46,3,Active
ORD-01069,21-10-2023,Aakash Bhat,South,Office Supplies,2142.98,11,Active
ORD-01428,24-02-2023,Smita Patil,East,Furniture,2716.66,7,Active
ORD-01234,06-07-2024,Asha Kulkarni,East,Office Supplies,502.12,13,Active
ORD-01707,12-08-2024,Sneha Gupta,East,Furniture,8745.4,4,Active
ORD-02398,25-04-2024,Neha Tiwari,North,Electronics,0,5,Cancelled
ORD-01947,16-09-2023,Pooja Iyer,North,Furniture,0,1,Cancelled
ORD-02180,18-03-2024,Vivek Chopra,West,Office Supplies,502.94,22,Active
ORD-01119,27-09-2024,Vikram Singh,West,Office Supplies,392.36,25,Active
ORD-01091,01-02-2023,Suresh Rao,West,Electronics,28263.04,2,Active
ORD-02321,08-09-2023,Priya Patel,East,Office Supplies,702.4,18,Active
ORD-02379,29-11-2023,Divya Kaur,North,Office Supplies,508.61,6,Active
ORD-01445,21-05-2024,Nikhil Desai,South,Furniture,6278.27,3,Active
ORD-01436,16-09-2024,Kiran Nambiar,West,Electronics,35490.34,2,Active
ORD-01958,22-11-2024,Suresh Rao,West,Office Supplies,2708.22,17,Active
ORD-01333,01-05-2023,Tara Saxena,East,Electronics,10485.48,2,Active
ORD-01378,27-10-2024,Priya Patel,East,Furniture,6975.9,8,Active
ORD-02203,26-08-2023,Vikram Singh,West,Furniture,10502.34,2,Active
ORD-01386,19-03-2023,Gaurav Mishra,South,Office Supplies,0,13,Returned
ORD-02075,11-03-2024,Rahul Verma,West,Furniture,1052.55,2,Active
ORD-02313,20-01-2024,Aakash Bhat,South,Electronics,16836.52,1,Active
ORD-02171,04-06-2024,Nikhil Desai,South,Office Supplies,2070.59,19,Active
ORD-01674,21-08-2024,Amit Kumar,South,Furniture,14596.29,7,Active
ORD-01637,30-06-2024,Tara Saxena,East,Furniture,14606.99,2,Active
ORD-02304,06-09-2023,Pooja Iyer,North,Electronics,6443.49,5,Active
ORD-01057,16-06-2023,Sanjay Joshi,West,Electronics,8727.74,3,Active
ORD-01341,04-01-2023,Aakash Bhat,South,Electronics,19527.42,1,Active
